"['Lily Marlene Tout passe dans la vie', "" Fred Dolys-R. Thoreau-Fred Raymond ; [interprété par] Robert L'Herbier [enregistrement sonore]"", "" Henry Lemarchand-Normert Schultze ; [interprété par] Robert L'Herbier.""]","L'Herbier, Robert, 1921-2008",1947,"1 disque : analogique, 78 r/min ; 25 cm"
"['Loin des guitares du film ""Au son des guitares""', ' [enregistrement sonore] : Koger-Duthyl-Scotto-Audiffred ; [interprété par] Ludovic Huot. Chanson pour ma brune : du film ""Au son des guitares""', ' Koger-Scotto ; [interprété par] Ludovic Huot']","Scotto, Vincent, 1876-1952",1937,"1 disque : analogique, 78 r/min ; 25 cm"
"['Le long du corridor  [enregistrement sonore]', ' [interprété par] Hector Pellerin. En se promenant', ' Despax-Christiné ; [interprété par] Hector Pellerin']","Pellerin, Hector, 1887-1953",1923,"1 disque : analogique, 78 r/min ; 25 cm"
"['Le long du St. Laurent  [enregistrement sonore]', ' Palisse ; [interprété par] Hector Pellerin. Sous les orangers fleuris', ' Pothier-Borel-Clerc ; [interprété par] Hector Pellerin']","Pellerin, Hector, 1887-1953",1920,"1 disque : analogique, 78 r/min ; 25 cm"
"['Lord Jonas Le pendu', ' [enregistrement sonore] ; [interprété par] Conrad Gauthier']","Gauthier, Conrad, 1885-1964",1931,"1 disque : analogique, 78 r/min ; 25 cm"
"[""Lorsqu'en mon coeur l'amour est venu When love comes stealing"", ' [enregistrement sonore] = Beaudry-Rapee-Pollack-Hirsch ; [interprété par] Jean Cartier. Laissez parler les fleurs', ' R. Beaudry ; [interprété par] Jean Cartier']","Cartier, Jean",1928,"1 disque : analogique, 78 r/min ; 25 cm"
"['Le loup de mer  [enregistrement sonore]', ' Borel-Clerc. Le carillonneur', ' Daniderff']","Borel-Clerc, Charles, 1879-1959",1922,"1 disque : analogique, 80 r/min ; 25 cm"
"['Le loup de mer  [enregistrement sonore]', ' Despax-Borel-Clerc. Sonne clairon', ' Mercey-Chaminade']","Borel-Clerc, Charles, 1879-1959",1920,"1 disque : analogique, 78 r/min ; 25 cm"
"['Ma Canadienne  [enregistrement sonore]', "" Bousquet-D'Albret ; [interprété par] Hector Pellerin. En passant devant ta maison"", ' Christiné ; [interprété par] Hector Pellerin']","Pellerin, Hector, 1887-1953",1921,"1 disque : analogique, 78 r/min ; 25 cm"
"['Ma chanson du Nil My song of the Nile', ' [enregistrement sonore] = Beaudry-Bryan-Meyer ; [interprété par] Jean Cartier. Ça devait durer toujours', ' R. Beaudry ; [interprété par] Albert Marier']","Cartier, Jean",1929,"1 disque : analogique, 78 r/min ; 25 cm"
"['Ma grosse Julie chansonnette comique', ' [enregistrement sonore] : Duoreux ; sung by Louis Verande. La boiteuse du régiment : chansonnette comique', ' Del-Poncin ; sung by Louis Verande']","Vérande, Louis, environ 1865-",1910,"1 disque : analogique, 80 r/min ; 25 cm"
"['Ma Loulou-- mon amour  [enregistrement sonore]', ' Borel-Clerc ; [interprété par] J.F. de Belleval, baryton. Le miracle des roses', ' R. de Buxeuil ; [interprété par] J.F. de Belleval, baryton']","Belleval, J.F. de (Joséphat Fournier de)",1928,"1 disque : analogique, 78 r/min ; 25 cm"
"['Ma maîtresse a du cragrin [sic] En faisant le tour de la montagne', ' [enregistrement sonore] ; [interprété par] J.O. LaMadeleine & Eug. Daignault']","LaMadeleine, J.O. (Joseph-Ovila), 1880-1973",1928,"1 disque : analogique, 78 r/min ; 25 cm"
"['Ma mie jolie sur l\'air de ""Old pal, why don\'t you answer me?""', ' [enregistrement sonore] : Gury-Jérôme ; [interprété par] Hector Pellerin. Nos vieux parents : sur l\'air de ""Over the hill""', ' Nel-Allen-Rubens ; [interprété par] Hector Pellerin']","Pellerin, Hector, 1887-1953",1923,"1 disque : analogique, 78 r/min ; 25 cm"
"['Ma poupée chérie My dolly dear', ' [enregistrement sonore] = Deseverac[sic]. La pauvre église = The poor old church', ' Jacques-Dalcroze']","Larochelle, Émile, 1891-1958",1927,"1 disque : analogique, 78 r/min ; 25 cm"
"['Ma prière My prayer', ' [enregistrement sonore] = Grimaldi-Boulanger ; [interprété par] Lionel Parent. Ne partez pas déjà', ' Champ[f]leury-Sauvat-Himmel ; [interprété par] Lionel Parent']","Parent, Lionel, 1905-1980",1939,"1 disque : analogique, 78 r/min ; 25 cm"
"[""Ma vigne et ma mie Noël d'Irlande"", ' Holmès ; [interprété par] Paul Dufault [enregistrement sonore]', ' Fortolis-Cuvillier ; [interprété par] Paul Dufault.']","Cuvillier, Charles, 1877-1955",1920,"1 disque : analogique, 78 r/min ; 25 cm"
"['Madame Capulet Sur le pont du Nord', ' [enregistrement sonore] ; [interprété par] Jean Cartier']","Cartier, Jean","1942, 1930","1 disque : analogique, 78 r/min ; 18 cm"
"['Madeleine  [enregistrement sonore]', ' F.L. Bénech ; [interprété par] J.F. de Belleval, baryton. Fleurs fanées', ' G.A. Clément ; [interprété par] J.F. de Belleval, baryton']","Belleval, J.F. de (Joséphat Fournier de)",1927,"1 disque : analogique, 78 r/min ; 25 cm"
"['Madelon, Madeleine Mirage', ' [enregistrement sonore] ; Borel-Clerc ; [interprété par] J.F. de Belleval, baryton']","Borel-Clerc, Charles, 1879-1959",1928,"1 disque : analogique, 78 r/min ; 25 cm"
"[""Mae West en vacances Les p'tit's du quinz'sous [sic]"", ' [enregistrement sonore] ; Nohcor ; [interprété par] Alfred Nohcor']","Nohcor, Alfred, né 1885",1936,"1 disque : analogique, 78 r/min ; 25 cm"
"[""Mais! quand on s'aime fox trot chanté"", ' [enregistrement sonore] : Gardoni-Selling-Charlys ; [interprété par] le Merle rouge [i.e.] Fernand Perron. Tango de Marilou : tango chanté', ' Marino-Mariotti ; [interprété par] le Merle rouge [i.e.] Fernand Perron']","Perron, Fernand, 1903-1953",1936,"1 disque : analogique, 78 r/min ; 25 cm"
"['Maître Pierre  [enregistrement sonore]', ' Jacques Plante-Henri Betti ; [interprété par] Lucille Dumont. Boléro', ' Henri Contet-Paul Durand ; [interprété par] Lucille Dumont']","Dumont, Lucille, 1919-2016",1949,"1 disque : analogique, 78 r/min ; 25 cm"
"[""La maitresse d'école Marie-toi pas, Nicolas"", ' [interprété par] Ovila Légaré [enregistrement sonore]', ' O. Légaré ; [interprété par] Ovila Légaré.']","Légaré, Ovila, 1901-1978",1930,"1 disque : analogique, 78 r/min ; 25 cm"
"[""La maîtresse d'école et, Marie-toi pas, Nicolas ; Faut pas se faire de bile, &, Mon cousin, ma cousine"", ' [enregistrement sonore], Légaré ; [interprété par] Ovila Légaré']","Légaré, Ovila, 1901-1978",1931,"1 disque : analogique, 78 r/min ; 25 cm"
"['Malgré moi  [enregistrement sonore]', "" Pfeiffer ; [interprété par] Charles Dalberty. Ton sourire d'amour"", ' Deval-Dose ; [interprété par] Charles Dalberty']","Dalberty, Charles",1920,"1 disque : analogique, 78 r/min ; 25 cm"
"['Malgré moi Le crucifix', ' Fauré ; [interprété par] M. Joseph Saucier, Montréal [enregistrement sonore]', ' Pfeifler [sic] ; [interprété par] M. Joseph Saucier, Montréal.']","Saucier, Joseph, 1869-1941","1920, 1905","1 disque : analogique, 78 r/min ; 25 cm"
"['Malgré tes serments  [enregistrement sonore]', ' Christiné-Howard ; [interprété par] Hector Pellerin. Délaissée', ' Alphand-Borel-Clerc ; [interprété par] Hector Pellerin']","Pellerin, Hector, 1887-1953",1920,"1 disque : analogique, 78 r/min ; 25 cm"
"['Mam\'zelle Montréal sur l\'air de ""Baby blue eyes""', "" [enregistrement sonore] : Beaudry-Greer ; [interprété par] Mons. Gaston St-Jacques (Cheval). L'orchestre de campagne"", ' Beaudry-Miro ; [interprété par] Mons. Gaston St-Jacques (Cheval)']","St-Jacques, Gaston, ca 1897-ca 1940",1923,"1 disque : analogique, 78 r/min ; 25 cm"
"[""Mam'zelle Mugette  [enregistrement sonore]"", ' Benech-Berniaux ; [interprété par] Hector Pellerin. Tout en causant', ' Benech-Dumont ; [interprété par] Hector Pellerin']","Pellerin, Hector, 1887-1953",1918,"1 disque : analogique, 78 r/min ; 25 cm"
"[""Maman, c'est toi que j'aime Annette valse"", ' Lemieux-Aubert ; [interprété par] André Lamarre [enregistrement sonore]', ' Boyer-Evrard ; [interprété par] André Lamarre.']","Lamarre, André",1943,"1 disque : analogique, 78 r/min ; 25 cm"
"['Maman  [enregistrement sonore]', ' Daverdain-Aris-Meriat ; [interprété par] le Merle rouge [i.e.] Fernand Perron. Coeur de maman', ' Deglun [i.e. Deyglun]-Carbonneau ; [interprété par] le Merle rouge [i.e.] Fernand Perron']",Merle rouge (Musicien),1936,"1 disque : analogique, 78 r/min ; 25 cm"
"['Maman du film ""Les deux gamines""', ' [enregistrement sonore] : Max-Blot-Yvain ; [interprété par] Jacques Aubert. Ses yeux perdus', ' Huard-Moretti ; [interprété par] Jacques Aubert']","Aubert, Jacques, musicien",1942,"1 disque : analogique, 78 r/min ; 25 cm"
"['Les mamans maudissent la guerre Anniversary waltz', ' [enregistrement sonore] = Dubin-Franklin-Parent ; [interprété par] Lionel Parent. Les trois lettres', ' Dequoy ; [interprété par] Lionel Parent']","Parent, Lionel, 1905-1980",1942,"1 disque : analogique, 78 r/min ; 25 cm"
"['Manon Ah! fuyez douce image', ' [enregistrement sonore] : Massenet. Les trois hussards', ' A. Lionnet']","Massenet, Jules, 1842-1912",1923,"1 disque : analogique, 78 r/min ; 25 cm"
"['Manon Ah fuyez, douce image', ' [enregistrement sonore] : Massenet. La favorite : Ange si pur', ' Donizetti']","Massenet, Jules, 1842-1912",1921,"1 disque : analogique, 80 r/min ; 25 cm"
"['Le marchand d\'étoiles sur l\'air de ""Japanese sandman""', ' Beaudry-Whiting ; [interprété par] Hector Pellerin. Diamants bleus : sur l\'air de ""Blue diamonds""', ' Beaudry-Caddigan-Story ; [interprété par] Hector Pellerin [enregistrement sonore] :']","Pellerin, Hector, 1887-1953",1920,"1 disque : analogique, 78 r/min ; 25 cm"
